"","switch","arsenic","dist","assoc","educ","subset"
"1",1,2.36,16.826000213623,0,0,"training"
"2",1,0.71,47.3219985961914,0,0,"training"
"3",0,2.07,20.9669990539551,0,10,"test"
"4",1,1.15,21.4860000610352,0,12,"test"
"5",1,1.1,40.8740005493164,1,14,"training"
"6",1,3.9,69.5179977416992,1,9,"test"
"7",1,2.97,80.7109985351562,1,4,"training"
"8",1,3.24,55.1459999084473,0,10,"training"
"9",1,3.28,52.6469993591309,1,0,"training"
"10",1,2.52,75.0719985961914,1,0,"training"
"11",1,3.13,29.7740001678467,1,5,"training"
"12",1,3.04,34.5040016174316,0,0,"training"
"13",1,2.91,63.8040008544922,1,0,"training"
"14",1,3.21,73.6039962768555,1,0,"test"
"15",1,1.7,67.6549987792969,1,0,"training"
"16",1,1.8,80.6600036621094,1,7,"test"
"17",1,1.44,52.181999206543,0,7,"test"
"18",1,1.43,52.181999206543,1,7,"test"
"19",1,2.33,50.5340003967285,1,0,"test"
"20",1,2.83,31.4220008850098,0,10,"test"
"21",1,1.79,33.0089988708496,1,7,"test"
"22",1,2.54,37.8709983825684,0,0,"training"
"23",1,2.25,48.3730010986328,1,5,"training"
"24",1,2.42,47.3089981079102,0,0,"training"
"25",1,1.62,67.7850036621094,0,8,"training"
"26",1,2.34,81.1380004882812,1,8,"training"
"27",1,3.49,95.4599990844727,0,10,"test"
"28",1,2.13,114.417999267578,0,16,"test"
"29",1,0.93,157.628997802734,1,10,"test"
"30",1,3.36,151.919998168945,1,10,"training"
"31",1,1.49,107.69100189209,0,10,"training"
"32",1,0.83,105.667999267578,0,10,"training"
"33",1,1.37,105.625999450684,1,0,"training"
"34",0,2.8,107.69100189209,0,0,"test"
"35",0,0.81,107.69100189209,0,0,"training"
"36",1,1.48,125.317001342773,1,3,"test"
"37",0,1.92,107.69100189209,1,0,"training"
"38",1,2.74,107.69100189209,0,10,"training"
"39",1,2.49,107.69100189209,1,0,"training"
"40",0,3.95,107.69100189209,0,0,"test"
"41",1,2.75,107.69100189209,0,0,"training"
"42",1,2.91,54.5699996948242,0,0,"test"
"43",1,0.83,54.5699996948242,0,0,"training"
"44",1,3.67,54.5699996948242,1,5,"training"
"45",1,2.9,54.5699996948242,0,0,"training"
"46",1,0.78,54.5699996948242,1,10,"test"
"47",0,2.52,3.61800003051758,1,5,"test"
"48",1,2.48,58.1669998168945,0,0,"test"
"49",1,4.47,72.3460006713867,0,8,"training"
"50",1,1.52,40.318000793457,0,0,"training"
"51",1,1.8,67.2190017700195,0,0,"training"
"52",0,0.51,99.0130004882812,0,0,"test"
"53",1,0.64,115.91300201416,1,0,"training"
"54",1,1.01,71.7990036010742,1,5,"test"
"55",1,0.74,141.535995483398,0,8,"test"
"56",1,1.81,84.6460037231445,1,0,"training"
"57",1,2.69,65.931999206543,0,0,"test"
"58",1,4.85,67.9400024414062,1,0,"test"
"59",1,3.18,64.697998046875,0,6,"training"
"60",1,5.06,62.6349983215332,1,10,"training"
"61",1,2.69,47.9090003967285,0,10,"test"
"62",1,0.57,24.0030002593994,0,12,"test"
"63",1,4.55,17.9820003509521,0,7,"training"
"64",0,3.91,11.1470003128052,1,6,"test"
"65",1,0.89,39.9770011901855,1,5,"test"
"66",0,1,69.1309967041016,0,0,"training"
"67",1,0.95,37.6529998779297,1,0,"training"
"68",1,3.55,32.0709991455078,1,7,"training"
"69",1,4.52,19.0839996337891,0,5,"test"
"70",1,4.76,23.9120006561279,0,0,"test"
"71",1,1.99,28.5599994659424,1,5,"training"
"72",0,2.85,21.9650001525879,0,0,"training"
"73",0,0.81,91.0070037841797,0,0,"test"
"74",1,2.85,26.5130004882812,1,8,"test"
"75",1,2.18,23.3239994049072,0,3,"training"
"76",1,4.23,31.5919990539551,0,5,"training"
"77",1,1.92,31.3239994049072,1,0,"test"
"78",1,1.63,38.8489990234375,0,8,"training"
"79",1,5.45,9.12600040435791,1,0,"test"
"80",0,1.57,19.3819999694824,0,8,"training"
"81",1,1.94,12.4610004425049,0,8,"training"
"82",1,1.58,14.9370002746582,0,0,"test"
"83",1,0.67,13.2189998626709,1,5,"test"
"84",1,1.4,6.82999992370605,0,5,"training"
"85",0,1.18,30.4060001373291,1,3,"test"
