Variable,Description
status,"Developed VTE during follow-up (0=no, 1=yes)"
fup,"Follow-up time (years of follow-up until first VTE, death from other causes, or end of follow-up)"
age,Age at start of follow-up (years)
weight,Weight (self-reported weight in lbs)
height,Height (self-reported height converted to meters)
bmi,Body mass index (kg/m2)
hip,Hip circumference (inches)
diab,"Diagnosed diabetes (0=no, 1=yes)"
hyper,"History of hypertension (0=no, 1=yes)"
hichol,"History of high cholesterol ((0=no, 1=yes)"
current_smok,"Current cigarette smoker (0=no, 1=yes)"
past_smok,"Past cigarette smoker (0=no, 1=yes)"
alcohol,"Alcohol consumption (1=2+ dr/day, 2=1dr/day, 3=5-6 dr/wk, 4=2-4 dr/wk, 5=1 dr/wk, 6=1-3 dr/mo, 7=rarely, never)"
exer,"Exercise frequency (1=< once/wk, 2=once/wk, 3=2-4 times/wk, 4=5-7 times/wk)"
